"date","seconds","heartrate","time","calendarDate"
2025-08-20,1755703080000,71,2025-08-20 11:18:00,2025-08-20
2025-08-20,1755703200000,71,2025-08-20 11:20:00,2025-08-20
2025-08-20,1755703320000,70,2025-08-20 11:22:00,2025-08-20
2025-08-20,1755703440000,71,2025-08-20 11:24:00,2025-08-20
2025-08-20,1755703560000,72,2025-08-20 11:26:00,2025-08-20
2025-08-20,1755703680000,71,2025-08-20 11:28:00,2025-08-20
2025-08-20,1755703800000,70,2025-08-20 11:30:00,2025-08-20
2025-08-20,1755703920000,69,2025-08-20 11:32:00,2025-08-20
2025-08-20,1755704040000,71,2025-08-20 11:34:00,2025-08-20
2025-08-20,1755704160000,68,2025-08-20 11:36:00,2025-08-20
2025-08-20,1755704280000,77,2025-08-20 11:38:00,2025-08-20
2025-08-20,1755704400000,78,2025-08-20 11:40:00,2025-08-20
2025-08-20,1755704520000,72,2025-08-20 11:42:00,2025-08-20
2025-08-20,1755704640000,67,2025-08-20 11:44:00,2025-08-20
2025-08-20,1755704760000,72,2025-08-20 11:46:00,2025-08-20
2025-08-20,1755704880000,68,2025-08-20 11:48:00,2025-08-20
2025-08-20,1.755705e+12,64,2025-08-20 11:50:00,2025-08-20
2025-08-20,1755705120000,65,2025-08-20 11:52:00,2025-08-20
2025-08-20,1755705240000,62,2025-08-20 11:54:00,2025-08-20
2025-08-20,1755705360000,61,2025-08-20 11:56:00,2025-08-20
2025-08-20,1755705480000,61,2025-08-20 11:58:00,2025-08-20
2025-08-20,1755705600000,65,2025-08-20 12:00:00,2025-08-20
2025-08-20,1755705720000,67,2025-08-20 12:02:00,2025-08-20
2025-08-20,1755705840000,62,2025-08-20 12:04:00,2025-08-20
2025-08-20,1755705960000,71,2025-08-20 12:06:00,2025-08-20
2025-08-20,1755706080000,68,2025-08-20 12:08:00,2025-08-20
2025-08-20,1755706200000,70,2025-08-20 12:10:00,2025-08-20
2025-08-20,1755706320000,66,2025-08-20 12:12:00,2025-08-20
2025-08-20,1755706440000,62,2025-08-20 12:14:00,2025-08-20
2025-08-20,1755706560000,65,2025-08-20 12:16:00,2025-08-20
2025-08-20,1755706680000,68,2025-08-20 12:18:00,2025-08-20
2025-08-20,1755706800000,64,2025-08-20 12:20:00,2025-08-20
2025-08-20,1755706920000,64,2025-08-20 12:22:00,2025-08-20
2025-08-20,1755707040000,77,2025-08-20 12:24:00,2025-08-20
2025-08-20,1755707160000,64,2025-08-20 12:26:00,2025-08-20
2025-08-20,1755707280000,65,2025-08-20 12:28:00,2025-08-20
2025-08-20,1755707400000,68,2025-08-20 12:30:00,2025-08-20
2025-08-20,1755707520000,72,2025-08-20 12:32:00,2025-08-20
2025-08-20,1755707640000,73,2025-08-20 12:34:00,2025-08-20
2025-08-20,1755707760000,72,2025-08-20 12:36:00,2025-08-20
2025-08-20,1755707880000,72,2025-08-20 12:38:00,2025-08-20
2025-08-20,1.755708e+12,72,2025-08-20 12:40:00,2025-08-20
2025-08-20,1755708120000,73,2025-08-20 12:42:00,2025-08-20
2025-08-20,1755708240000,72,2025-08-20 12:44:00,2025-08-20
2025-08-20,1755708360000,72,2025-08-20 12:46:00,2025-08-20
2025-08-20,1755708480000,72,2025-08-20 12:48:00,2025-08-20
2025-08-20,1755708600000,75,2025-08-20 12:50:00,2025-08-20
2025-08-20,1755708720000,74,2025-08-20 12:52:00,2025-08-20
2025-08-20,1755708840000,88,2025-08-20 12:54:00,2025-08-20
2025-08-20,1755708960000,93,2025-08-20 12:56:00,2025-08-20
2025-08-20,1755709080000,81,2025-08-20 12:58:00,2025-08-20
2025-08-20,1755709200000,80,2025-08-20 13:00:00,2025-08-20
2025-08-20,1755709320000,79,2025-08-20 13:02:00,2025-08-20
2025-08-20,1755709440000,79,2025-08-20 13:04:00,2025-08-20
2025-08-20,1755709560000,95,2025-08-20 13:06:00,2025-08-20
2025-08-20,1755709680000,92,2025-08-20 13:08:00,2025-08-20
2025-08-20,1755709800000,81,2025-08-20 13:10:00,2025-08-20
2025-08-20,1755709920000,79,2025-08-20 13:12:00,2025-08-20
2025-08-20,1755710040000,74,2025-08-20 13:14:00,2025-08-20
